product_id,product_name,category,price
1,Total uniform definition,Clothing,325.31
2,Robust homogeneous model,Electronics,346.97
3,Inverse contextually-based intranet,Sports,92.59
4,Self-enabling 24hour architecture,Books,266.8
5,Pre-emptive asymmetric core,Sports,198.17
6,Business-focused scalable circuit,Clothing,314.3
7,Expanded clear-thinking array,Books,135.78
8,Enhanced optimizing neural-net,Sports,98.86
9,Expanded disintermediate middleware,Electronics,385.24
10,Configurable interactive success,Sports,442.76
11,Persistent fault-tolerant concept,Home,102.04
12,Up-sized dedicated encryption,Sports,185.94
13,Optimized context-sensitive portal,Electronics,118.47
14,Fully-configurable exuding forecast,Sports,113.71
15,Re-engineered local productivity,Clothing,417.43
16,Exclusive encompassing toolset,Books,196.13
17,Polarized attitude-oriented hierarchy,Electronics,181.21
18,Object-based homogeneous concept,Electronics,215.63
19,Phased leadingedge interface,Clothing,367.68
20,Profit-focused reciprocal support,Books,336.51
21,Optional well-modulated collaboration,Clothing,211.09
22,Polarized 3rdgeneration task-force,Home,444.73
23,Multi-tiered interactive artificial intelligence,Home,169.03
24,Virtual exuding policy,Sports,235.73
25,Public-key coherent neural-net,Sports,30.84
26,Upgradable context-sensitive extranet,Clothing,149.63
27,Multi-tiered maximized function,Home,392.8
28,Persevering executive implementation,Electronics,219.06
29,Realigned real-time matrices,Sports,337.69
30,Compatible full-range challenge,Sports,382.66
31,Universal methodical customer loyalty,Sports,415.72
32,Distributed content-based ability,Home,283.95
33,Advanced motivating superstructure,Books,256.88
34,Up-sized holistic matrix,Sports,51.87
35,Open-architected intangible infrastructure,Sports,416.36
36,User-friendly holistic info-mediaries,Sports,299.46
37,Pre-emptive fault-tolerant project,Electronics,380.97
38,Reverse-engineered asynchronous installation,Sports,42.51
39,Automated bottom-line info-mediaries,Books,88.46
40,Re-contextualized cohesive core,Home,351.67
41,Virtual intermediate extranet,Sports,142.15
42,Visionary web-enabled success,Books,47.79
43,Monitored multimedia strategy,Clothing,121.47
44,Pre-emptive scalable solution,Electronics,210.75
45,Multi-layered tangible approach,Clothing,60.61
46,Streamlined human-resource interface,Books,281.27
47,User-centric dynamic encryption,Clothing,473.28
48,Polarized 5thgeneration hierarchy,Sports,114.95
49,Self-enabling tertiary service-desk,Home,476.78
50,Assimilated tangible secured line,Clothing,424.76
